,RaT,Pr,RaS,Sc,x,Tbar,σTbar,Tp2,σTp2,chiT,σchiT,epsilon,σepsilon,vxT,σvxT,vxp2,σvxp2,vxvy,σvxvy,vxvz,σvxvz,vyT,σvyT,vybar,σvybar,vyp2,σvyp2,vzT,σvzT,vzbar,σvzbar,vzp2,σvzp2,Rρ,ν,κT,κS
87,-20000.0,1.0,100000000.0,100.0,0.4376090520886299,-0.022634547693029514,0.004966308976375627,0.011464095030702833,0.0013346291949712277,0.001128384292652416,0.00012222588260244288,0.0017732349972792753,0.0002625684669148752,-0.0025490183102417894,0.00044204905353435915,0.0033081949838046844,0.0006809435781158943,0.002373307673919012,0.0005341108739177526,8.450821514066811e-06,0.0003067341061882576,-0.009715348422457382,0.0015972985314174277,0.02441156651011711,0.00835264177640457,0.015980648570272673,0.0027028919248752625,4.452158557569245e-05,0.0009180423810496188,-0.0003834273485489153,0.005705894790279693,0.00597607385639315,0.0012231246809745356,0.02,0.001,0.001,1e-05
88,-20000.0,1.0,100000000.0,100.0,0.4449183583648263,-0.019954733589102592,0.004955707508376048,0.011435372350741418,0.0013288429560335928,0.0011248270804118856,0.00012291654786239964,0.00177357513162925,0.0002641700077598045,-0.0025506405330434994,0.00044283165976315234,0.003324694026084261,0.0006838068133655544,0.0023830285981152038,0.0005362246909587104,8.542470272839065e-06,0.0003089677330434247,-0.009578666391363547,0.0015812240406892298,0.021547634400150173,0.008262791703928227,0.015968319112982125,0.0026945985727872455,4.4046949014150343e-05,0.0009214428173292917,-0.0003414048312707022,0.005642482752738296,0.0059941635111104155,0.0012339996729064848,0.02,0.001,0.001,1e-05
89,-20000.0,1.0,100000000.0,100.0,0.45223920925903405,-0.017281443502749384,0.004948303479388173,0.011410208586589586,0.0013233997331098322,0.0011216991653085588,0.0001236099894731206,0.0017739926568085733,0.0002657237377937353,-0.002552042221789879,0.00044353834676503145,0.003339178787992871,0.0006863246915341361,0.0023915089546825475,0.0005381014337150745,8.611887821848177e-06,0.0003109660853970119,-0.009459172001274045,0.001567135061719498,0.018681053787134527,0.008182684842676792,0.01595710283911947,0.002687770064570641,4.3701857965651026e-05,0.0009246929646082811,-0.00029809672071892034,0.005584148921446063,0.006010581227262386,0.001244091095863179,0.02,0.001,0.001,1e-05
90,-20000.0,1.0,100000000.0,100.0,0.4595700703865728,-0.014613701253436452,0.004943322283316087,0.01138861836719529,0.0013184069615401165,0.0011189991269993107,0.00012427405740295482,0.0017744404437585774,0.00026717038901111597,-0.002553230284590478,0.0004441604704237996,0.0033516315050902746,0.0006884958526596874,0.0023987575763646527,0.0005397300419521933,8.660090252431607e-06,0.0003127163118217067,-0.009356830547532679,0.0015550462025372882,0.015811924935758344,0.008112741089289003,0.015947151056560947,0.002682291220001584,4.3471202272193736e-05,0.0009276955583589125,-0.0002537383719750921,0.005531802102398987,0.006025105650384691,0.001253192650370649,0.02,0.001,0.001,1e-05
91,-20000.0,1.0,100000000.0,100.0,0.4669094052647072,-0.01195056972420981,0.0049401046941774,0.011370610957595508,0.0013139817205712727,0.0011167367221905724,0.00012488811521604236,0.0017748767549376284,0.00026845490528962896,-0.0025542098296610295,0.00044468980100979827,0.0033620361464439556,0.0006903167570665344,0.002404782002540638,0.0005411001722016424,8.689936564975953e-06,0.0003142044395654187,-0.009271614019211364,0.0015449605796788478,0.01294048906964306,0.008053449876467887,0.015938598511201774,0.0026780152987666197,4.3332969243783816e-05,0.000930356166401507,-0.00020855767034204162,0.005486363970440723,0.006037538502961978,0.0012611126688680278,0.02,0.001,0.001,1e-05
92,-20000.0,1.0,100000000.0,100.0,0.47425567563467963,-0.009291143943398415,0.004938117528787155,0.01135619253737128,0.0013102457177915651,0.0011149251654268611,0.00012543690114475274,0.0017752692129926393,0.00026951984904646466,-0.002554985269511652,0.000445119360993686,0.0033703786481057135,0.0006917823858723469,0.0024095895212359318,0.000542203959424174,8.705557347276389e-06,0.0003154163087413213,-0.00920349511009006,0.0015368781925569673,0.01006706387287906,0.008005367991852102,0.015931565493600773,0.002674794671380696,4.326193873831947e-05,0.0009325900204834077,-0.00016276291278951213,0.005448725322003154,0.006047706924807153,0.0012676787164231285,0.02,0.001,0.001,1e-05
93,-20000.0,1.0,100000000.0,100.0,0.4816073417841156,-0.006634549860702626,0.00493695434536574,0.011345368941347644,0.001307316995227453,0.001113572852732298,0.00012589948418643195,0.0017755943680055012,0.000270322980802266,-0.00255556099209384,0.00044544416475011294,0.003376647021003359,0.0006928873868662341,0.0024131872176430154,0.0005430355595585182,8.711667707212458e-06,0.00031633868830872896,-0.009152447146959373,0.0015308049071121866,0.007191995672249564,0.007968954666750284,0.015926169104156174,0.002672512735919939,4.323349854425769e-05,0.0009343269464097693,-0.00011653510148946205,0.005419693266789717,0.006055466438375363,0.0012727429108888198,0.02,0.001,0.001,1e-05
94,-20000.0,1.0,100000000.0,100.0,0.4889628628697337,-0.003979945233112482,0.004936327955613348,0.01133814704274506,0.0013052990700660014,0.0011126789237600723,0.0001262428636066704,0.0017758379922136246,0.0002708562744935141,-0.002555941435327593,0.00044566144740712873,0.003380831640942849,0.0006936270202113171,0.002415581601462448,0.0005435914667269401,8.712779310980103e-06,0.00031696040770352966,-0.009118440674378,0.0015267502474440137,0.004315700854712837,0.007944504383096582,0.01592250966678399,0.002671067335056478,4.32268840703577e-05,0.0009355139886965235,-7.002543090211023e-05,0.005399936015259051,0.006060704348687063,0.0012761876723981996,0.02,0.001,0.001,1e-05
95,-20000.0,1.0,100000000.0,100.0,0.4963206972402927,-0.0013265185079669025,0.004936057920592815,0.011334533819391984,0.0013042693552074796,0.001112235569928218,0.00012642818204212157,0.0017759745989536413,0.0002711239988020156,-0.0025561304909240946,0.00044577017695673915,0.003382925714894971,0.0006939977706551488,0.0024167773341638218,0.0005438698979878877,8.712391217357662e-06,0.0003172733829433861,-0.009101446491608484,0.0015247206745753982,0.0014386513134522962,0.0079322145074722,0.015920659983426354,0.0026703680807752153,4.322736547523103e-05,0.0009361161581097633,-2.335858438979836e-05,0.0053899323286611045,0.006063343101760394,0.0012779310957274303,0.02,0.001,0.001,1e-05
0,-40000.0,2.0,100000000.0,100.0,0.0006884041309397904,-0.49726524087142127,0.00015477766641723095,1.8409425702460072e-06,4.058837173689943e-07,0.009858436501439333,0.0012450325613334247,0.08184440833764853,0.00482716790401506,-3.981697717479771e-09,7.72753745268375e-10,3.709677200490347e-11,7.829044648887922e-12,1.6277436109761293e-09,3.4235516402201657e-10,-1.313562677673331e-12,1.3415572171659932e-10,-0.003072882811418723,0.00010000465549468173,0.0061770199473646535,0.00019971079331384612,2.6922996863019172e-06,4.069545842303106e-07,3.5392197219306154e-06,1.6602385943762173e-05,-7.098816204733456e-06,3.342460163122723e-05,7.741802921633899e-07,1.5388222352422182e-07,0.02,0.001,0.0005,1e-05
